,Credit Usage Activity Dt Month,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,,,,,,,,,,,,
Name,Vcs URL, Total Credits, Total Credits, Total Credits, Total Credits, Total Credits, Total Credits, Total Credits, Total Credits, Total Credits, Total Credits, Total Credits, Total Credits,,,,,,,,,,,,
Project1,https://github.com/Acme/Project1,"1,676,300","1,410,184","1,185,495","794,786","904,306","581,813","984,696","807,760","958,386","695,458","907,267","47,865",,,,,,,,,,,,
Project2,https://github.com/Acme/Project2,"758,766","613,488","1,101,136","667,234","854,217","408,065","155,881","211,402","499,971","229,401","157,436","17,811",,,,,,,,,,,,
Project3,https://github.com/Acme/Project3,,,,"2,105","403,604","151,365","434,202","327,016",,,,,,,,,,,,,,,,
Project4,https://github.com/Acme/Project4,"512,868","412,347","299,200","279,348","277,716","314,294","231,368","240,854","460,282","526,475","337,045","7,522",,,,,,,,,,,,
Project5,https://github.com/Acme/Project5,"261,605","199,646","107,953","32,363","199,572","77,358","114,705","117,528","113,794","113,879","154,527","5,512",,,,,,,,,,,,
Project6,https://github.com/Acme/Project6,"113,861","132,749","155,612","146,689","124,607","166,993","150,174","128,924","86,378","78,012","145,688","1,134",,,,,,,,,,,,
Project7,https://github.com/Acme/Project7,"69,511","48,156","46,174","104,914","95,118","65,741","192,004","172,869","97,369","88,985","136,654",21,,,,,,,,,,,,
Project8,https://github.com/Acme/Project8,"54,575","105,364","83,517","82,484","54,363","79,380","106,916","94,929","30,507","31,368","84,900",205,,,,,,,,,,,,
Project9,https://github.com/Acme/Project9,"3,203","24,707","28,085","9,112","43,072","1,983","32,487","55,922","15,734","2,978",,,,,,,,,,,,,,
Project10,https://github.com/Acme/Project10,"1,201",562,679,"6,082","29,392",303,214,"1,512",270,,,,,,,,,,,,,,,
Project11,https://github.com/Acme/Project11,"26,847","52,049","28,281","4,595","28,919","54,108","26,239","52,708","51,231",309,"25,503",72,,,,,,,,,,,,
Project12,https://github.com/Acme/Project12,,,,"25,632","27,741",,862,534,"50,852","25,411",,,,,,,,,,,,,,
Project13,https://github.com/Acme/Project13,"2,505","5,209","2,957","5,684","26,617","1,613","34,702","2,926","5,092","6,641",902,210,,,,,,,,,,,,
Project14,https://github.com/Acme/Project14,,"25,043","29,949","3,548","25,309",865,"27,715","25,775","27,057","25,384",191,605,,,,,,,,,,,,
Project15,https://github.com/Acme/Project15,"25,554","51,717","26,588","51,800","25,271","25,768","3,444","50,770","25,607","75,805","25,366",48,,,,,,,,,,,,
Project16,https://github.com/Acme/Project16,"26,356","25,230",,,"25,241",,"25,229",,"25,683","25,218","25,438",,,,,,,,,,,,,
Project17,https://github.com/Acme/Project17,"94,077","49,175","51,110","13,002","13,738","17,499","3,413",,"3,751",914,"20,918",,,,,,,,,,,,,
Project18,https://github.com/Acme/Project18,"35,116","7,305","52,612","40,086","13,584","57,406","31,131","1,523","17,467","3,706","6,465",,,,,,,,,,,,,
Project19,https://github.com/Acme/Project19,"209,190","153,320","95,833","108,950","11,903",,,,,,,,,,,,,,,,,,,
Project20,https://github.com/Acme/Project20,"32,875","93,592","54,811","28,135","7,311","5,938","29,209",914,"5,987","1,720",511,,,,,,,,,,,,,
Project21,https://github.com/Acme/Project21,"36,094","37,242","33,130","12,132","5,360","5,232","4,851","31,978","6,778","3,746","34,254",,,,,,,,,,,,,
Project22,https://github.com/Acme/Project22,"59,536","38,347","32,626","25,751","4,281",411,"2,453",364,920,876,,,,,,,,,,,,,,
Project23,https://github.com/Acme/Project23,911,"5,307","7,832",553,"4,038",610,"2,452","1,521","1,746",791,,,,,,,,,,,,,,
Project24,https://github.com/Acme/Project24,"5,782","20,615","11,476","1,804","3,122","4,437",,"2,279","9,738","95,065","34,828",425,,,,,,,,,,,,
Project25,https://github.com/Acme/Project25,"25,101","25,210","50,336","50,904","1,304","77,081","2,929","51,181","25,315",81,"25,390",,,,,,,,,,,,,
Project26,https://github.com/Acme/Project26,,,"17,882","34,696","1,231","5,548","15,779","28,575",,,,,,,,,,,,,,,,
Project27,https://github.com/Acme/Project27,,,,,272,,,,,,,,,,,,,,,,,,,
Project28,https://github.com/Acme/Project28,"1,629","3,614","1,734","4,221",254,996,"56,200","33,926","15,100","30,381",702,,,,,,,,,,,,,
Project29,https://github.com/Acme/Project29,,"4,508","2,498","2,960",240,"1,399","2,470","2,063","1,570","2,798","27,416",,,,,,,,,,,,,
Project30,https://github.com/Acme/Project30,,,,,238,490,"2,310",,3,2,,,,,,,,,,,,,,
Project31,https://github.com/Acme/Project31,351,,,,150,,175,,501,50,,,,,,,,,,,,,,
Project32,https://github.com/Acme/Project32,17,56,,,118,27,416,,,,,,,,,,,,,,,,,
Project33,https://github.com/Acme/Project33,50,21,54,54,33,124,41,30,,,,,,,,,,,,,,,,
Project34,https://github.com/Acme/Project34,,,,,15,46,693,,"25,007",1,,,,,,,,,,,,,,
Project35,https://github.com/Acme/Project35,,,,,4,4,,,,,,,,,,,,,,,,,,
Project36,https://github.com/Acme/Project36,,,,,3,2,16,3,,,,,,,,,,,,,,,,
Project37,https://github.com/Acme/Project37,,,11,,3,3,3,,57,,,,,,,,,,,,,,,
Project38,https://github.com/Acme/Project38,448,,"54,763","53,617",,,"30,312",,"65,537","60,975",,,,,,,,,,,,,,
Project39,https://github.com/Acme/Project39,,,,,,,,,,"54,853","3,639",404,,,,,,,,,,,,
Project40,https://github.com/Acme/Project40,,"51,079",,,,,454,,,,,,,,,,,,,,,,,
Project41,https://github.com/Acme/Project41,,,,,,,,"25,008","33,957",,,,,,,,,,,,,,,
Project42,https://github.com/Acme/Project42,,,,,,,"2,284","22,549","26,907","26,731","1,280",14,,,,,,,,,,,,
Project43,https://github.com/Acme/Project43,,,"4,949",,,,"1,647","1,029",,202,"1,609","25,804",,,,,,,,,,,,
Project44,https://github.com/Acme/Project44,,,"25,222",,,,"25,228",,,,,,,,,,,,,,,,,
Project45,https://github.com/Acme/Project45,,,,,,"25,118",6,,,,,,,,,,,,,,,,,
Project46,https://github.com/Acme/Project46,,,,,,34,66,"25,101",70,67,,,,,,,,,,,,,,
Project47,https://github.com/Acme/Project47,,,,,,,"25,033",,,,,,,,,,,,,,,,,
Project48,https://github.com/Acme/Project48,"2,612",,"2,155","8,160",,589,"3,656","1,550","1,430","2,550",,,,,,,,,,,,,,
Project49,https://github.com/Acme/Project49,,,636,226,,,"4,328",,,,233,429,,,,,,,,,,,,
Project50,https://github.com/Acme/Project50,327,665,"4,175","1,074",,,,,"1,299",,,,,,,,,,,,,,,
Project51,https://github.com/Acme/Project51,,,,,,,"2,412",,,,,,,,,,,,,,,,,
Project52,https://github.com/Acme/Project52,871,,451,"2,188",,458,"1,304",,,,,,,,,,,,,,,,,
Project53,https://github.com/Acme/Project53,"1,798",,,,,572,"1,117",,,,201,,,,,,,,,,,,,
Project54,https://github.com/Acme/Project54,889,"1,682",555,,,,,,,,,,,,,,,,,,,,,
Project55,https://github.com/Acme/Project55,,,921,,,,683,,435,"1,337",,,,,,,,,,,,,,
Project56,https://github.com/Acme/Project56,"1,163",422,,,,,,,,,,,,,,,,,,,,,,
Project57,https://github.com/Acme/Project57,,,,,,,731,,,,,,,,,,,,,,,,,
Project58,https://github.com/Acme/Project58,,,661,,,225,,,223,,409,,,,,,,,,,,,,
Project59,https://github.com/Acme/Project59,,,,,,438,216,,,217,641,,,,,,,,,,,,,
Project60,https://github.com/Acme/Project60,,,,,,165,566,,84,,,,,,,,,,,,,,,
Project61,https://github.com/Acme/Project61,,,,,,,226,,,,,,,,,,,,,,,,,
Project62,https://github.com/Acme/Project62,,,,,,69,209,10,4,,,,,,,,,,,,,,,
Project63,https://github.com/Acme/Project63,,,,,,,50,,,,,,,,,,,,,,,,,
Project64,https://github.com/Acme/Project64,,,,,,25,,10,,,,,,,,,,,,,,,,
Project65,https://github.com/Acme/Project65,,,,,,,,,5,,,,,,,,,,,,,,,